Medyczna Przychodnia ##(32) 370 24 14
Lar-Med Nzoz #         nzozlarmedzywiec@gmail.com     #(33) 860 26 63
Diagnostyka Sp. z o.o. Punkt Pobrań ##(32) 293 10 56
Diagnostyka Sp. z o.o. Punkt Pobrań ##(32) 268 21 78
Diagnostyka Sp. z o.o. Punkt Pobrań i Laboratorium ##(32) 268 21 78
Diagnostyka Sp. z o.o. Sp.k. Laboratorium ##(32) 368 48 36
Diagnostyka Sp. z o.o. Sp.k. Laboratorium ##(32) 251 37 69
Diagnostyka Sp. z o.o. Sp.k. Laboratorium ##(32) 268 21 78
Diamed Centrum Medyczne #         diamed@op.pl     #(32) 215 24 42
DiLMed S.C. Centrum Medycyny Rodzinnej i Specjalistycznej ##(32) 256 46 93
Dk Usługi Medyczne Dariusz Krulik ##(34) 314 91 03
D-Med Agnieszka Dyda #         d-med@wp.pl     #660 035 805
Dobrowolscy A.D.Sp.p. Praktyka Lekarska #         dardobmd@wp.pl     #(32) 323 02 39
Doktor Nauk Medycznych Jarosław Szewczyk Stomatologia #         jarekszewczyksilesia@wp.pl     #609 992 124
Dolina Miłosierdzia Przychodnia Lekarska Niepubliczny Zakład Opieki Zdrowotnej ##(34) 368 31 70
Dolor-Med S.C. Grzegorz Bujok Lilianna Szuba-Bujok ##(32) 410 82 00
Dom Opieki Senior ##(32) 425 40 12
DOMENA Przychodnia Rehabilitacyjna ##(33) 828 04 66
DOMENA Przychodnia Rehabilitacyjna ##(33) 828 04 34
Domesthic Sp.j. R. Krysiński #         sklep@almamed.pl     #(34) 361 66 66
Dominik Danilczyk Pracownia Techniki Dentystycznej Domident #         domident@poczta.fm     #Oceń firmę i napisz o niej opinię:
Dorula Bartłomiej Paramedicus #         bartek.rat.med@wp.pl     #Oceń firmę i napisz o niej opinię:
Dotyk Motyla Sp. z o.o. ##601 429 980
DOZ Apteka dbam o zdrowie Medyczna ##(32) 355 64 61
Dr n. med. Teresa Fryda Laboratorium Medyczne Sp. z o.o. Przychodnia Programu Max Medicum ##(32) 781 45 52
DR N. Med.Magdalena Szaflarska - Specjalistyczna Praktyka Lekarska Tłumaczenia Medyczne #         mszaflar@wp.pl     #Oceń firmę i napisz o niej opinię:
dr nauk medycznych Bluszcz-Różnowska Anita Praktyka Lekarska ##606 276 723
dr nauk medycznych Hanna Michalik Specjalista Stomatologii Zachowawczej #         hannamichalik@gmail.com     #(32) 206 35 23
dr nauk medycznych Joanna Dugiełło Specjalista Stomatologii Zachowawczej ##(32) 206 35 23
Dr Nauk Medycznych Marcin Plech #         marcinplech@wp.pl     #(32) 289 41 67
Dr Nauk Medycznych Specjalista Urolog Połać Roman ##601 434 003
Drager Polska Sp. z o.o. #         info.polska@draeger.com     #(32) 388 76 60
Draisin Polska Sp. z o.o. w Organizacji #         informacja@draisin.com     #(32) 209 12 38
Drozd Niepubliczny Zakład Opieki Zdrowotnej ##603 173 338
Dudek Marek Pracownia Dentystyczna Naprawa i Wykonywanie Protez #         marek.dudek@onet.eu     #Oceń firmę i napisz o niej opinię:
Dudzik Bogumiła Pracownia Protetyczna #         1dudek@vp.pl     #Oceń firmę i napisz o niej opinię:
Duo Medica Anna Sobczyńska #         kontakt@duomedica.pl     #695 395 525
Duo-Dent S.C. Anna Firlus-Werkowska, Dariusz Krótki #         duodent.gliwice@gmail.com     #605 530 059
Duo-Med Prywatna Przychodnia Specjalistyczna Irena Ogrodniczak #         irena.ogrodniczak@vp.pl     #Oceń firmę i napisz o niej opinię:
DuoMedic NZOZ Wioletta Drzewiecka #         wioladrzew@o2.pl     #(32) 260 04 70
Duraj Marian Usługi Medyczne Specjalistyczna Praktyka Lekarska ##(32) 202 74 91
Dydoń Agata i Paweł S.C. Przychodnia Lekarska Niepubliczny Zakład Opieki Zdrowotnej ##(34) 320 14 44
Dydoń Agata i Paweł S.C. Przychodnia Lekarska Niepubliczny Zakład Opieki Zdrowotnej ##(34) 360 41 74
Dzga Polska Sp. z o.o. #         polska@dzga.com     #(32) 728 06 87
Działalność Medyczna Iwona Mikołajczyk #         fiona.mikolajczyk@wp.pl     #Oceń firmę i napisz o niej opinię:
Dziechcinka Niepubliczny Zakład Opieki Zdrowotnej Przychodnia ##(33) 855 24 94
Easy Med Szymon Piechaczek Usługi Medyczne #         easymedszkolenia@gmail.com     #537 200 088
Egerton Błażej Pancerz #         info@egerton.pl     #Oceń firmę i napisz o niej opinię:
Egzotech Sp. z o.o. w Organizacji ##(32) 750 49 45
El Serwis Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej ##(32) 267 11 44
Ela Med Sp.j. NZOZ Kotynia ##(32) 451 41 71
Elavita Sp. z o.o. #         grzegorz61-61@o2.pl     #(32) 280 28 63
Electric System &amp; Laser Technology Artur Gaczek #         arga@solid-state-lasers.com     #Oceń firmę i napisz o niej opinię:
Elias Ireneusz Firma Usługowa Elmed ##501 324 354
Elvita NZOZ Altermed Plus ##(32) 603 04 24
Elvita NZOZ Centrum Medyczne Trójka ##(32) 715 10 96
Elvita NZOZ Centrum Medyczne Trójka ##(32) 715 13 91
Elvita NZOZ Centrum Medyczne Trójka Poradnia Ginekologiczno-Położnicza ##(32) 616 47 37
Elvita NZOZ Centrum Medyczne Trójka w Jaworznie Centrum Medyczne Energetyków ##(33) 814 28 46
Elvita NZOZ Górniczy Zakład Lecznictwa Ambulatoryjnego ##(32) 754 93 91
Elvita NZOZ Górniczy Zakład Lecznictwa Ambulatoryjnego ##(32) 751 00 08
Elvita NZOZ Przychodnia Lekarska im. M. M. Kolbego ##(34) 364 83 34
Elżbieta Kaworek Usługi Medyczno -Terapeutyczne #         elamyciek@wp.pl     #502 775 983
Elżbieta Tomczok Działalność Medyczna ##504 946 915
Emanuel Pawełek Marek Wielebnowski Serwis Aparatury Medycznej Pawełek &amp; Wielebnowski S.C. #         pwserwis@o2.pl     #796 943 729
Emilia Brachaczek #         emiliabrachaczek@gmail.com     #Oceń firmę i napisz o niej opinię:
Emilia Rucińska #         emizebik@onet.pl     #Oceń firmę i napisz o niej opinię:
Emi-Med S.C. Niepubliczny Zakład Opieki Zdrowotnej #         emimed@interia.eu     #(32) 710 37 25
Emtel Śliwa Sp.k. ##(32) 271 90 13
Emtelmed Celina Śliwa #         emtelmed@tlen.pl     #Oceń firmę i napisz o niej opinię:
Endoimplant Polska Sp. z o.o. ##793 163 875
Endopro Sp. z o.o. #         endopro@endopro.pl     #(32) 352 03 19
Endoscopica Niepubliczny Zakład Opieki Zdrowotnej Centrum Diagnostyki Medycznej Rok Zbigniew #         zbymed@interia.pl     #Oceń firmę i napisz o niej opinię:
Endox Polska Sp. z o.o. ##666 843 056
Endykrynologia Bielska S.C. Niepubliczny Zakład Opieki Zdrowotnej L. Wenglorz M. Strońska i. Koperska T. Jabłecki ##(33) 822 16 29
Epione II Sp. z o.o. #         epione@epione.pl     #500 261 382
Epione Sp.j. Katarzyna Wrześniewska Narcyz Wrześniewski ##(32) 204 64 52
Epm-Osada Sp. z o.o. ##(32) 384 99 98
Erudio Centrum Szkoleń Medycznych i Bezpieczeństwa Tomasz Kulpok-Bagiński #         biuro@erudio.edu.pl     #Oceń firmę i napisz o niej opinię:
Eskulap Beta NZOZ Mateusz Bąk #         maticzek14@o2.pl     #(32) 221 36 46
Eskulap Dudek Lekarze Sp. P. #         dudek@adres.pl     #(32) 451 42 34
Eskulap NZOZ Ginekologia-Położnictwo-Diagnostyka ##(32) 262 32 17
Eskulap Przychodnia Lekarska ##(34) 324 24 69
Eskulap S.C. Niepubliczny Zakład Opieki Zdrowotnej ##(33) 867 13 76
Eskulap S.C. Niepubliczny Zakład Opieki Zdrowotnej I.Kowalska-Kubala J.Biliński ##(34) 357 70 24
Eskulap Sp. z o.o. Centrum Medyczne ##(32) 415 46 34
Eskulap Sp. z o.o. Centrum Medyczne ##(32) 419 08 00
Eskulap Sp. z o.o. Zakład Opieki Zdrowotnej ##(32) 434 22 66
Eskulap Sp. z o.o. Zakład Opieki Zdrowotnej Poradnia Dermatologiczna #         ksiegowosc.eskulap@poczta.internetdsl.pl     #(32) 434 55 30
Eskulap Transport Sanitarny #         eskulap-zabrze@wp.pl     #(32) 370 16 07
Esti - Lab Rafał Kaniowski #         kaniowski.rafal@gmail.com     #504 251 999
Eucor S.C. Suchodolski Marian Suchodolski Maciej #         eucor@poczta.onet.pl     #(33) 858 40 10
Euroklinika #         biuro@euroklinika.pl     #(33) 485 94 48
Euro-Med Przychodnia Lekarska ##(32) 755 37 20
Euromed Przychodnia Lekarska Medycyny Rodzinnej i Specjalistycznej ##(32) 677 14 96
Euromed Przychodnia Lekarska Sp. z o.o. #         zoz_wielkobor@data.pl     #(34) 362 96 37
Euro-Med S.C. Niepubliczny Zakład Opieki Zdrowotnej-Przychodnia Rodzinna ##602 195 767
Euro-Med Sp.p. Specjalistyczna Poradnia Dla Kobiet NZOZ W. Kniewski R. Müller ##501 770 157
Euro-Med Straconka Sp. z o.o. Centrum Medyczne Niepubliczny Zakład Opieki Zdrowotnej #         emedicus@wp.pl     #(33) 816 30 75
Euromedic Sp. z o.o. #         rejestracja@provisus.com.pl     #501 123 321
Euro-Medica Radosław Bis #         radoslawbis@gmail.com     #884 610 460
EuroMedica Sp. z o.o. ##(33) 814 81 81
EuroMedica Sp. z o.o. Centrum medyczne Bielsko-Biała 1 ##(33) 814 81 81
EuroMedica Sp. z o.o. Centrum medyczne Bielsko-Biała 2 ##(33) 814 81 81
Euromed-M #         euromed@poczta.fm     #(32) 317 47 00
Europejska Grupa Medyczna Południe Sp. z o.o. ##731 733 703
Europejska Klinika Cukrzycy ##(32) 308 77 77
Europejski Specjalistyczny Instytut Medyczny Jdz Sp. z o.o. ##(32) 285 32 00
Europejskie Centrum Leczenia Niepłodności PLAST-MED ##(32) 373 32 22
Europejskie Centrum Leczenia Niepłodności PLAST-MED ##(32) 386 03 28
Euro-Vita Niepubliczny Zakład Opieki Zdrowotnej ##(32) 421 74 26
Ewa Gajda #         jedajg@interia.pl     #660 844 642
Ewa Niemiec #         ewcia544@interia.pl     #Oceń firmę i napisz o niej opinię:
Ewa Skoczylas Pracownia Protetyki Stomatologicznej ##512 385 545
Ewanmed S.C. Niepubliczny Zakład Opieki Zdrowotnej #         ewanmed@poczta.onet.pl     #(32) 203 69 91
Ewelina Kiedrzyn E-Dent #         ewellinn@interia.pl     #Oceń firmę i napisz o niej opinię:
Ewelina Wrońska Evident Pracownia Techniki Dentystycznej #         evi822@wp.pl     #608 758 408
Ew-Med Sp. z o.o. ##(32) 247 13 00
Express-Med Katarzyna Szymura #         kontakt@express-med.pl     #Oceń firmę i napisz o niej opinię:
Factor Laboratorium Analityczne Andrzej Krakowiak ##(33) 816 47 83
Factor Laboratorium Analityczne Przychodnia Programu Max Medicum ##(33) 819 29 23
Fal-Med S.C. Niepubliczny Zakład Opieki Zdrowotnej ##(32) 233 12 78
Fal-Med S.C. Niepubliczny Zakład Opieki Zdrowotnej #         2400008@2o2.org.pl     #(32) 233 78 27
Fal-Med S.C. Niepubliczny Zakład Opieki Zdrowotnej ##(32) 233 68 68
Famar Sp.j. Zbigniew Miara Bartłomiej Miara #         zbigniew.miara@famar.pl     #(33) 845 67 88
Famed Żywiec Sp. z o.o. #         sekretariat@famed.com.pl     #Oceń firmę i napisz o niej opinię:
Familia - Med S.C. NZOZ ##(32) 216 16 18
Familia Niepubliczny Zakład Opieki Zdrowotnej Renata Kandzio ##(32) 245 47 33
Familia Sp.p. Usługi Medyczne Krasowska-Salamon Malczyk-Kęska ##(32) 431 50 83
Familia-Med Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej #         familiamed@poczta.wp.pl     #(32) 222 30 33
Familia-Med Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej ##(32) 216 16 18
Family Sana ##(32) 251 25 99
Familyorto Sp.j. Centrum Medyczne A.Granek A.Wycisło #         biuro@familyorto.pl     #(32) 738 39 85
Fam-Med S.C. Niepubliczny Zakład Opieki Zdrowotnej #         fammed@poczta.fm     #(32) 233 72 50
Fam-Med S.C. Niepubliczny Zakład Opieki Zdrowotnej ##(32) 233 70 30
Fam-Med S.C. Niepubliczny Zakład Opieki Zdrowotnej ##(32) 273 73 52
Far-Med Faryna Marcin #         biuro@superratownik.pl     #697 510 089
Femina Centrum Medyczne E. Kapuśniak J. Waleczek ##(32) 202 70 90
Femina S.C. Centrum Medyczne Jaremi Waleczek Ewa Kapuśniak ##(32) 257 06 99
Femina S.C. Niepubliczny Zakład Opieki Zdrowotnej ##(32) 455 21 82
Fermed Sp.p. NIepubliczny Zakład Opieki Zdrowotnej Słomczyńscy #         skecaj@poczta.onet.pl     #(32) 430 63 30
FHU Aleksander Stekla #         aleksander.stekla@marrodent.pl     #602 706 537
F.H.U. Euro-Medical Maciej Świda #         obsluga.portalu@gmail.com     #(33) 444 60 70
FHU Jolanta Dzięgielewska-Szary #         medipartner.bielsko@gmail.com     #(33) 498 88 30
FHU Krzysztof Jendrzejowski ##664 186 881
FHU Michał Jendrzejowski ##606 908 633
FHU Pro-Dent-El Dobrosława Woszczyna #         dobrusia7@vp.pl     #696 044 132
FHU Rol-Dent Piotr Rolnik #         roldent@interia.pl     #500 111 973
FIGO Damian Urbańczyk #         damiano609@vp.pl     #505 876 304
Fire Mat Med Mateusz Ostrówka ##500 021 915
Firma Dentima Magdalena Sierzputowska ##515 156 501
Firma Handlowa Lek S.C. Leszek Kinasz Grażyna Checko ##(32) 226 44 44
Firma Produkcyjno Usługowaadvartec Paweł Wojdas #         info@advartec.eu     #602 190 641
Firma Usługowa Pracownia Protetyczna Katarzyna Całka ##530 850 350
Fitomed Sklep Zielarsko-Medyczny ##727 652 208
Fizyk Medyczny Łukasz Niewiadomski ##608 255 672
Fizyk Medyczny Marta Stefańczyk #         stefanczyk.marta@gmail.com     #508 680 407
Flexi- Dent Marian Janotta #         flexident.info@gmail.com     #606 127 890
Flor-Med Jarosław Florek #         jaro87@spoko.pl     #Oceń firmę i napisz o niej opinię:
Fogt Norbert Laboratorium #         fogt@wp.pl     #501 417 625
Fomed Beskid Dr Ryszard Wąsik #         rywasik@yahoo.com     #604 123 957
Formed Sp. z o.o. #         rafal.niegel@gmail.com     #793 542 323
FPH Mustaf Dental S.C. Sergiusz Albiński Magdalena Albińska ##(34) 362 86 12
Fridamedical Sp. z o.o. #         czyrniamalgorzata@gmail.com     #Oceń firmę i napisz o niej opinię:
Frk Intra Cordis Sp. z o.o. ##(32) 373 56 50
Frodent Bartłomiej Frączyk ##507 100 911
Frucz Urszula Pracownia Protetyki Stomatologicznej ##502 144 804
Fundacja Fabryka Inicjatyw Medycznych #         kontakt@akademiaprawamed.pl     #Oceń firmę i napisz o niej opinię:
Fundacja Fizyków Medycznych Małe Marzenia #         wschod@wp.pl     #692 050 640
Fundacja Ochrony Zdrowia i Pomocy Społecznej Niepubliczny Zakład Opieki Zdrowotnej ##(32) 756 11 54
Fundacja Pomocy Dzieciom Centrum Rehabilitacyjno Edukacyjne Dla Dzieci #         fundacjapm@go2.pl     #(33) 860 25 13
Fundacja przy Samodzielnym Publicznym Szpitalu Klinicznym im. Andrzeja Mielęckiego Śląskiego Uniwersytetu Medycznego w Katowicach ##(32) 259 16 50
Fundacja Związku Polskich Kawalerów Maltańskich Maltańska Służba Medyczna - Pomoc Maltańska #         rozliczenia@zakonmaltanski.pl     #575 995 737
Gabinet Diagnostyki Medycznej Diag-Med Paweł Chabiński #         pawelchabinski@gmail.com     #789 203 618
Gabinet Endokrynologiczny Bożena Najmiec-Byrska #         najmiec@gmail.com     #605 032 673
Gabinet Fizjoterapii ##(34) 319 45 34
Gabinet i Sklep Zielarsko-Medyczny im. Św. Ojca Pio Jacek Spodniewski ##786 233 554
Gabinet Lekarski Hanna Kupczak ##(34) 328 13 57
Gabinet Lekarski lek. med. Beata Pelic-Szeliga #         szeligajs@interia.pl     #501 711 218
Gabinet Lekarski Rehabilitacji Medycznej Irena Kucharska-Święcka #         piotr.swiecki@vp.pl     #Oceń firmę i napisz o niej opinię:
Gabinet Protetyczny Magdalena Kosiec ##693 374 955
Gabinet Protetyki Słuchu #         medmikolow@gmail.com     #518 815 685
Gabinet Psychoterapii Gestalt Bożena Kalemba #         bozena.kalemba@gmail.com     #724 101 617
Gabinet Rehabilitacji Medycznej Bartosz Łojewski #         biuro@rehabilitacjazywiec.pl     #696 482 661
Gabinet Rehabilitacyjny Ortopeda Małgorzata Jarosławiecka-Kostka ##502 010 868
Gabinet USG #         glasek@o2.pl     #(32) 615 57 52
Gabinety Lekarskie NZOZ #         gosiapaczek@gazeta.pl     #(32) 254 03 56
Gabriela Kądziela Med #         gabriela.kadziela@gmail.com     #Oceń firmę i napisz o niej opinię:
Gabriela Matuszak Gm Lab Pracownia Techniki Dentystycznej #         g.gaba@poczta.onet.pl     #Oceń firmę i napisz o niej opinię:
Galen Ortopedia Sp. z o.o. ##(32) 216 44 44
Galio Innovation Sp. z o.o. ##338 639 033
Galmed Arkadiusz Kocoń #         biuro@galmed.pl     #(32) 433 06 20
Gal-Med Sylwia Kocierz NZOZ Indywidualna Specjalistyczna Praktyka Lekarska #         kocierz.sylwia@interia.pl     #(32) 754 34 64
Galoptik Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe Iwona Brewczyńska ##(34) 314 50 12
Gamma-Med Łukasz Niesporek #         gammamed@o2.pl     #662 392 284
Gamża Niepubliczny Zakład Opieki Zdrowotnej #         2402314@zoz.org.pl     #(32) 222 27 18
Gastro-Clinic Sp. z o.o. #         gastro.clinic@onet.pl     #530 089 540
Gastromed Niepubliczny Specjalistyczny Zakład Opieki Zdrowotnej ##(32) 423 25 17
Gebiss Pracownia Protetyczna Monika Paluch ##881 626 156
Germen Sp. z o.o. #         germen@wp.pl     #(32) 258 02 32
Gig Przychodnia ##(32) 259 22 59
Gis S.C. Poradnie Specjalistyczne ##(32) 263 70 01
Gis S.C. Poradnie Specjalistyczne Grzegorz Gaik Ewa Boczkowska-Gaik #         grzegorz.gaik@cardiosurg.pl     #(32) 263 70 01
Gliwice Przychodnia ##(32) 231 14 90
Global Medical Holding Sp. z o.o. w Organizacji ##881 424 454
Glomb Rafał Hilary #         optykhilary@onet.pl     #600 657 299
Głowacka Maria Gabinet Lekarski ##601 874 843
G-Med NZOZ Leczenie i Diagnostyka Chorób Piersi Dariusz Giełzak #         gielzak@op.pl     #(32) 601 29 17
Gmerczyński Marek Usługi Medyczne - Zdrowie ##(32) 736 64 43
Gminmed NZOZ Katarzyna Kesler ##(32) 235 30 06
Gmin-Med Sp. z o.o. ##(32) 287 63 29
Gminne Centrum Informacji ##(32) 230 39 59
Goldi Aleksandra Lipart-Świda ##531 593 220
Golis Ewa Golis Janusz Golis Tomasz S.C Usługi Medyczne ##(32) 238 34 50
Gosmed Niepubliczny Zakład Opieki Zdrowotnej ##(32) 218 70 77
Górniczy Zakład Lecznictwa #         fozp_jul@inetia.pl     #(32) 288 20 02
Górniczy Zespół Lecznictwa Specjalistycznego Fundacji Unia Bracka Przychodnia Specjalistyczna nr 3 ##(32) 231 14 90
Górnośląskie Centrum Handlowe Sprzętu Medycznego S.C. ##(32) 767 55 27
Górnośląskie Centrum Handlowe Sprzętu Medycznego S.C. ##(32) 241 71 93
Górnośląskie Centrum Handlowe Sprzętu Medycznego S.C. ##(32) 771 78 01
GÓRNOŚLĄSKIE CENTRUM MEDYCZNE IM. PROF. LESZKA GIECA ŚLĄSKIEGO UNIWERSYTETU MEDYCZNEGO W KATOWICACH ##(32) 359 80 00
Graff-Med Zakład Usług Medycznych Barbara Fręchowicz ##(34) 361 27 91
Graloptic Joanna Grabowska #         graloptic@wp.pl     #Oceń firmę i napisz o niej opinię:
Granmed #         granmed@op.pl     #(32) 266 54 94
Grażyna Misiewicz Gabinet Techniki Dentystycznej. Ekspresowa Naprawa Protez. Prace Zlecone z Zakresu Protetyki. ##(32) 271 12 96
Grażyna Posmyk - Usługi Medyczne w Dziedzinie Radioterapii i Brachyterapii #         erapos4@wp.pl     #668 320 677
Green S.C. ##507 493 820
Gremedig Sp. z o.o. ##698 014 981
Grupa Pożarnictwa i Ratownictwa Medycznego ##726 994 998
Grupa Strózik Bartłomiej Strózik #         bartlomiejstrozik@gmail.com     #691 718 575
Grupa Strózik Sp. z o.o. #         bartlomiejstrozik@gmail.com     #Oceń firmę i napisz o niej opinię:
Grupowa Specjalistyczna Praktyka Lekarska S.C. ##515 273 075
grycashflow.pl Sklep Internetowy #         kontakt@grycashflow.pl     #(33) 444 64 94
Gryf Edyta Przybyła - Palla ##668 489 553
Gryzełko Zdzisław Sprzęt Medyczny #         gryzelkoz@interia.pl     #(33) 810 47 95
Grzegorz Domogała Usługi Medyczne #         snakeman1@op.pl     #508 551 787
Grzegorz Janosz Przedsiębiorstwo Handlowo-Usługowe Ja-Pi #         ja.pi@poczta.fm     #508 348 456
Grzegorz Kemona ##512 122 448
Grzegorz Rajchel #         barbados13@interia.pl     #Oceń firmę i napisz o niej opinię:
Grzegorz Ryłko Fomed #         grzegorz.rylko@wp.pl     #Oceń firmę i napisz o niej opinię:
Grzegorz Solon Sol-Dent #         solik25@poczta.fm     #515 132 134
Grzegorz Włoczka Perfmed - Usługi Medyczne #         greg204@interia.pl     #Oceń firmę i napisz o niej opinię:
Gynsi Pympek Sklep Zielarsko-Medyczny Barbara Błażyca-Szczerbowska #         sklep@pympek.pl     #536 768 501
Hajkiewicz Ingrid Pracownia Protetyczna ##604 246 944
Hanna Lisak - Specjalistyczna Opieka Medyczna. #         hanna.lisak@onet.pl     #Oceń firmę i napisz o niej opinię:
Has-Med Przedsiębiorstwo Handlowe ##(33) 812 29 64
Has-Med S.C. Janusz-Radomska Małgorzata Gieremek Krzysztof ##(33) 812 45 82
Healthy Connection Sp. z o.o. #         d.domagala@healthyconnection.pl     #604 455 911
Healthy Life Centrum Medyczne Edward Gajda ##790 860 770
Hed - Med S.C. Poradnia Rodzinna #         hedmed@interia.pl     #(32) 215 28 31
Helimed Diagnostic Imaging Sp. z o.o. Sp. Komandytowa ##(32) 355 95 10
Helimed Diagnostic Imaging Sp. z o.o. Sp.k. ##(32) 355 95 10
Helios-Med Sp. z o.o. NZOZ #         heliosmed@op.pl     #Oceń firmę i napisz o niej opinię:
Henexmed International S.A. ##795 142 068
Herba-Med Sklep Zielarsko-Medyczny Małgorzata Byrska #         herbamed1@wp.pl     #(33) 812 24 48
Herban Bartosz NZOZ Hermed ##(32) 471 01 74
Hibiscus Sklep Zielarsko-Medyczny ##509 487 127
Hipokrates II S.C. Niepubliczny Zakład Opieki Zdrowotnej ##(34) 363 27 80
Hipokrates Niepubliczny Zakład Opieki Zdrowotnej #         hip.rs@interia.pl     #(32) 455 03 23
Hipokrates Sp. z o.o. Przychodnia Lekarska #         hipokrates@hipokrateszabrze.civ.pl     #(32) 271 27 45
Hipokrates Specjalistyczny Zakład Opieki Zdrowotnej ##(32) 210 30 31
Hipokrates Zespół Domowych Usług Medycznych ##(32) 231 57 79
Hiscan Sp. z o.o. ##(32) 205 90 03
Hosp-Med Sp. z o.o. ##(34) 322 06 25
H-T Centrum Medyczne S.C. ##(32) 219 08 05
H-T Centrum Medyczne S.C. Specjalistyczny Szpitalny Oddział Gastrologiczny ##(32) 217 88 66
H-T Sp. z o.o. Centrum Medyczne ##(32) 217 88 66
Htm Ratownictwo Medyczne Dawid Smyk #         dawidsmyk.med@gmail.com     #Oceń firmę i napisz o niej opinię:
I Katedra I Oddział Kliniczny Kardiologii ##(32) 271 34 14
Icon Apollonius Sp. z o.o. ##(32) 254 12 21
Identon Sp. z o.o. #         edytazemla@hotmail.com     #667 561 106
ID-Med S.C. Niepubliczny Zakład Opieki Zdrowotnej #         igch@interia.pl     #Oceń firmę i napisz o niej opinię:
Igel Przedsiębiorstwo Elektroniki Profesjonalnej #         igel@igel.pl     #(32) 271 76 90
Ignaś - Med Marcin Ignacy #         ignacymarcin@gmail.com     #Oceń firmę i napisz o niej opinię:
III Katedra I Oddział Kliniczny Kardiologii ##(32) 373 37 88
III Liceum Ogólnokształcące w Zespole Szkół Chemiczno-Medycznych i Ogólnokształcących im. M. Skłodowskiej-Curie ##(32) 285 52 34
III Liceum Ogólnokształcące w Zespole Szkół Ogólnokształcących i Medycznych ##(34) 351 14 36
Iko-Med S.C. ##(34) 365 76 72
Ilona Chmielarz Pracownia Techniki Dentystycznej #         ila83@interia.pl     #530 925 945
Impuls Group Gonera Sp. J. ##691 104 207
Indywidualna Specjalistyczna Praktyka Lekarska Pawłowski Tomasz; NZOZ Specjalistyczne Gabinety Lekarskie Tomasz Pawłowski #         tomasz_pawlowski@poczta.onet.pl     #602 266 304
Infimed Sp. z o.o. ##(33) 861 40 96
Informacja PKS ##(32) 473 07 00
Informacja Turystyczna #         turystyka@jelesnia.pl     #(33) 863 07 77
Infoz Firma Handlowo-Usługowa Leszek Kapias #         biuro@info.com.pl     #(33) 852 32 80
Innovative Micro Dentistry Sp. z o.o. ##(32) 363 15 50
Instytut Zdrowia Medicall Sp. z o.o. Sp.k. ##(44) 647 12 75
Intermax Sp. z o.o. #         biurointermax@wp.pl     #(34) 322 10 50
Inter-Med S.C. Niepubliczny Zakład Opieki Zdrowotnej #         katowice@inter-med.pl     #(32) 205 88 30
Intermedical Marek Stebnicki #         intermedical@intermedical.pl     #601 496 826
Inventmed Sp. z o.o. ##(32) 770 95 95
Inwest Partner Medycyna Sp. z o.o. #         biuro@ipmed.pl     #730 990 991
Inżynieria Dentystyczna Michał Pieczora #         pieczora@gmail.com     #Oceń firmę i napisz o niej opinię:
Ireneusz Krawczyk Pracownia i Gabinet Protetyki Stomatologicznej ##501 459 009
Ireneusz Sarna- Usługi Ratownictwa Medycznego #         irsar@poczta.onet.pl     #Oceń firmę i napisz o niej opinię:
Irmed Pogotowie Ratunkowe Ireneusz Matecki ##(32) 271 75 28
Irzykowski Tadeusz Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Rehabilitacyjna ##(32) 475 35 98
Isako Sp. z o.o. Salus Niepubliczny Zakład Opieki Zdrowotnej #         t.kunysz@op.pl     #(33) 855 28 65
Isako Spółka z o.o. ##(33) 855 32 45
Itam-System ##(32) 276 30 56
i.T.C. Unitronic Janusz Napieralski Zielarnia Blackswan Herba-Krak-Zielarsko-Medyczny ##(33) 810 00 11
Izabela Baranek Centrum Medyczne #         izabaranek@interia.pl     #Oceń firmę i napisz o niej opinię:
Izabela Grzesiak-Kania Centrum Medyczne Bell-Med #         bell-med@neostrada.pl     #501 977 773
Izabela Habraszka Usługi Medyczne #         habrasia@interia.pl     #Oceń firmę i napisz o niej opinię:
Izabela Sychniak-Załęska NZOZ Dentus - Med Specjalistyczne Gabinety Lekarskie #         belunia@poczta.onet.pl     #Oceń firmę i napisz o niej opinię:
Izo-Erg S.A. Zakłady Tworzyw Sztucznych Przychodnia Przyzakładowa #         zts@izoerg.com.pl     #Oceń firmę i napisz o niej opinię:
Jacek Anioł Usługi Medyczne Ani-Med #         jacek3225@interia.pl     #Oceń firmę i napisz o niej opinię:
Jacek Makulski FH Sklep Medyczny Cpap Med #         cpapmed.sklep@gmail.com     #Oceń firmę i napisz o niej opinię:
Jacek Waszak-Usługi Medyczne #         jwaszak.uslugi@gmail.com     #Oceń firmę i napisz o niej opinię:
Jachym Teresa Sklep Medyczny #         sklepmedteresa@gmail.com     #509 731 401
Jakub Suder Ratownik Medyczny ##511 489 419
JAMRO Jacek Jamróz #         biuro@jamro.com.pl     #(32) 363 31 15
Jan Tomczyk Pracownia Stomatologiczna i Immunodiagnostyki ##(32) 289 87 22
Janik Med II Prywatna Przychodnia Lekarska #         janik-med2@wp.pl     #(34) 324 24 69
